x_m,y_m,speed_mps,notch
519260.985,4567682.96,2.7036,7
519264.691,4567684.603,4.0542,7
519269.631,4567686.793,5.4036,7
519275.804,4567689.529,6.7515,7
519283.035,4567692.734,7.9102,7
519291.191,4567696.349,8.9212,7
519300.182,4567700.334,9.8341,7
519309.626,4567705.29,10.6754,7
519319.323,4567710.712,11.11,7
519329.02,4567716.134,11.11,7
519338.718,4567721.557,11.11,6
519348.474,4567726.863,11.11,6
519358.496,4567731.659,11.11,6
519368.517,4567736.455,11.11,7
519378.539,4567741.251,11.11,7
519388.561,4567746.047,11.11,7
519398.147,4567751.63,11.11,7
519407.534,4567757.572,11.11,7
519416.921,4567763.514,11.11,6
519426.309,4567769.457,11.11,6
519435.557,4567775.593,11.11,6
519444.208,4567782.564,11.11,6
519452.859,4567789.535,11.11,7
519461.51,4567796.505,11.11,7
519470.161,4567803.476,11.11,7
519479.004,4567810.199,11.11,7
519487.933,4567816.809,11.11,7
519496.863,4567823.42,11.11,6
519505.792,4567830.03,11.11,6
519514.812,4567836.509,11.11,6
519524.212,4567842.431,11.11,6
519533.612,4567848.353,11.11,7
519543.012,4567854.275,11.11,7
519552.412,4567860.197,11.11,7
519561.829,4567866.092,11.11,7
519571.253,4567871.976,11.11,7
519580.677,4567877.86,11.11,6
519590.1,4567883.744,11.11,6
519599.544,4567889.597,11.11,6
519609.07,4567895.314,11.11,6
519618.596,4567901.032,11.11,7
519628.122,4567906.749,11.11,7
519637.647,4567912.467,11.11,7
519647.508,4567917.564,11.11,7
519657.518,4567922.383,11.11,7
519667.528,4567927.203,11.11,7
519677.539,4567932.022,11.11,7
519687.685,4567936.485,11.11,7
519698.368,4567939.534,11.11,7
519709.051,4567942.584,11.11,7
519719.734,4567945.634,11.11,7
519730.417,4567948.684,11.11,7
519741.239,4567951.169,11.11,7
519752.12,4567953.417,11.11,7
519763.0,4567955.664,11.11,7
519773.88,4567957.912,11.11,7
519784.747,4567960.222,11.11,7
519795.559,4567962.776,11.11,7
519806.372,4567965.33,11.11,7
519817.184,4567967.884,11.11,7
519827.996,4567970.437,11.11,7
519838.794,4567973.052,11.11,7
519849.586,4567975.692,11.11,7
519860.378,4567978.331,11.11,6
519871.17,4567980.971,11.11,6
519881.962,4567983.611,11.11,6
519892.754,4567986.251,11.11,6
519903.545,4567988.891,11.11,6
519914.337,4567991.53,11.11,6
519925.129,4567994.17,11.11,6
519935.929,4567996.777,11.11,6
519946.732,4567999.371,11.11,6
519957.535,4568001.964,11.11,7
519968.338,4568004.557,11.11,7
519979.141,4568007.151,11.11,7
519989.944,4568009.745,11.11,7
520000.747,4568012.34,11.11,6
520011.55,4568014.934,11.11,6
520022.352,4568017.529,11.11,6
520033.141,4568020.181,11.11,6
520043.923,4568022.859,11.11,6
520054.706,4568025.536,11.11,6
520065.489,4568028.214,11.11,6
520076.24,4568031.004,11.11,6
520086.869,4568034.238,11.11,6
520097.498,4568037.472,11.11,6
520108.127,4568040.706,11.11,6
520118.756,4568043.94,11.11,6
520129.378,4568047.196,11.11,6
520139.997,4568050.462,11.11,6
520150.616,4568053.728,11.11,7
520161.235,4568056.993,11.11,7
520171.892,4568060.12,11.11,7
520182.697,4568062.707,11.11,7
520193.502,4568065.293,11.11,6
520204.307,4568067.88,11.11,6
520215.111,4568070.466,11.11,6
520225.85,4568073.308,11.11,6
520236.562,4568076.256,11.11,6
520247.274,4568079.204,11.11,6
520257.985,4568082.152,11.11,6
520268.647,4568085.26,11.11,6
520279.116,4568088.979,11.11,6
520289.585,4568092.698,11.11,6
520300.054,4568096.416,11.11,6
520310.524,4568100.135,11.11,6
520321.053,4568103.678,11.11,6
520331.607,4568107.148,11.11,6
520342.161,4568110.619,11.11,6
520352.715,4568114.089,11.11,6
520363.319,4568117.387,11.11,6
520374.108,4568120.037,11.11,6
520384.897,4568122.688,11.11,6
520395.686,4568125.338,11.11,6
520406.476,4568127.988,11.11,6
520417.265,4568130.638,11.11,6
520428.054,4568133.289,11.11,6
520438.843,4568135.939,11.11,6
520449.633,4568138.589,11.11,6
520460.404,4568141.309,11.11,6
520471.105,4568144.293,11.11,6
520481.807,4568147.278,11.11,7
520492.509,4568150.262,11.11,7
520503.21,4568153.246,11.11,7
520513.754,4568156.733,11.11,7
520524.232,4568160.425,11.11,7
520534.711,4568164.117,11.11,6
520545.189,4568167.81,11.11,6
520555.618,4568171.63,11.11,6
520565.862,4568175.932,11.11,6
520576.105,4568180.235,11.11,7
520586.348,4568184.537,11.11,7
520596.591,4568188.84,11.11,7
520606.463,4568193.907,11.11,7
520616.185,4568199.285,11.11,7
520625.906,4568204.663,11.11,7
520635.628,4568210.041,11.11,7
520645.285,4568215.528,11.11,7
520654.703,4568221.422,11.11,7
520664.121,4568227.316,11.11,7
520673.538,4568233.21,11.11,7
520682.956,4568239.104,11.11,7
520692.729,4568244.367,11.11,7
520702.647,4568249.374,11.11,7
520712.565,4568254.381,11.11,6
520722.483,4568259.388,11.11,6
520732.499,4568264.174,11.11,6
520742.865,4568268.171,11.11,6
520753.231,4568272.168,11.11,7
520763.597,4568276.165,11.11,7
520773.963,4568280.162,11.11,7
520784.397,4568283.977,11.11,7
520794.856,4568287.722,11.11,7
520805.316,4568291.466,11.11,6
520815.776,4568295.211,11.11,6
520826.243,4568298.938,11.11,6
520836.731,4568302.601,11.11,6
520847.22,4568306.265,11.11,7
520857.709,4568309.928,11.11,7
520868.197,4568313.591,11.11,7
520878.703,4568317.206,11.11,7
520889.215,4568320.802,11.11,7
520899.727,4568324.398,11.11,7
520910.239,4568327.994,11.11,7
520920.757,4568331.572,11.11,7
520931.296,4568335.086,11.11,7
520941.836,4568338.601,11.11,6
520952.375,4568342.115,11.11,6
520962.915,4568345.629,11.11,6
520973.578,4568348.736,11.11,6
520984.29,4568351.682,11.11,6
520995.002,4568354.629,11.11,6
521005.714,4568357.576,11.11,6
521016.442,4568360.465,11.11,6
521027.223,4568363.149,11.11,6
521038.004,4568365.832,11.11,6
521048.785,4568368.516,11.11,6
521059.566,4568371.2,11.11,6
521070.347,4568373.884,11.11,6
521081.127,4568376.567,11.11,6
521091.908,4568379.251,11.11,6
521102.689,4568381.935,11.11,6
521113.47,4568384.619,11.11,6
521124.251,4568387.303,11.11,6
521135.032,4568389.986,11.11,7
521145.813,4568392.67,11.11,7
521156.594,4568395.354,11.11,7
521167.375,4568398.038,11.11,7
521178.156,4568400.721,11.11,7
521188.937,4568403.405,11.11,6
521199.718,4568406.089,11.11,6
521210.499,4568408.773,11.11,6
521221.28,4568411.457,11.11,6
521232.061,4568414.14,11.11,6
521242.842,4568416.824,11.11,6
521253.623,4568419.508,11.11,6
521264.404,4568422.192,11.11,6
521275.185,4568424.875,11.11,6
521285.966,4568427.559,11.11,7
521296.747,4568430.243,11.11,7
521307.528,4568432.927,11.11,7
521318.309,4568435.61,11.11,7
521329.09,4568438.294,11.11,7
521339.871,4568440.978,11.11,7
521350.652,4568443.662,11.11,7
521361.433,4568446.346,11.11,7
521372.214,4568449.029,11.11,7
521382.995,4568451.713,11.11,7
521393.776,4568454.397,11.11,7
521404.566,4568457.044,11.11,7
521415.388,4568459.554,11.11,7
521426.211,4568462.065,11.11,7
521437.033,4568464.576,11.11,7
521447.856,4568467.087,11.11,7
521458.796,4568468.984,11.11,7
521469.782,4568470.636,11.11,7
521480.768,4568472.289,11.11,7
521491.755,4568473.941,11.11,7
521502.75,4568475.533,11.11,7
521513.774,4568476.909,11.11,7
521524.799,4568478.285,11.11,7
521535.823,4568479.661,11.11,7
521546.847,4568481.037,11.11,7
521557.911,4568482.025,11.11,7
521568.989,4568482.858,11.11,7
521580.068,4568483.692,11.11,7
521591.147,4568484.526,11.11,7
521602.225,4568485.361,11.11,7
521613.303,4568486.205,11.11,7
521624.381,4568487.049,11.11,6
521635.459,4568487.893,11.11,6
521646.537,4568488.737,11.11,6
521657.536,4568490.244,11.11,6
521668.506,4568492.005,11.11,6
521679.475,4568493.766,11.11,7
521690.445,4568495.528,11.11,7
521701.332,4568497.64,11.11,7
521711.931,4568500.969,11.11,7
521722.531,4568504.297,11.11,7
521733.13,4568507.626,11.11,7
521743.73,4568510.955,11.11,7
521754.139,4568514.824,11.11,7
521764.477,4568518.893,11.11,7
521774.815,4568522.961,11.11,6
521785.154,4568527.029,11.11,6
521795.621,4568530.662,11.11,6
521806.51,4568532.865,11.11,6
521817.399,4568535.068,11.11,7
521828.289,4568537.271,11.11,7
521838.989,4568539.436,10.9166,7
521849.589,4568541.018,10.7231,7
521860.033,4568542.355,10.5294,7
521870.285,4568543.667,10.3357,6
521880.345,4568544.954,10.1418,6
521890.212,4568546.217,9.9479,6
521899.816,4568547.912,9.7539,6
521909.217,4568549.648,9.5598,6
521918.427,4568551.348,9.3656,6
521927.445,4568553.014,9.1714,6
521936.273,4568554.644,8.9771,6
521944.853,4568556.502,8.7827,6
521953.181,4568558.598,8.5883,6
521961.321,4568560.647,8.3938,6
521969.272,4568562.649,8.1993,6
521977.035,4568564.602,8.0047,6
521984.609,4568566.509,7.8101,6
521991.821,4568568.861,7.6155,6
521998.574,4568571.936,7.4208,6
522005.151,4568574.932,7.2262,6
522011.55,4568577.846,7.0315,6
522017.772,4568580.68,6.8368,6
522023.816,4568583.433,6.6422,6
522029.684,4568586.105,6.4476,6
522035.295,4568588.835,6.253,6
522040.234,4568592.344,6.0584,6
522045.014,4568595.741,5.864,6
522049.636,4568599.024,5.6695,6
522054.099,4568602.196,5.4752,6
522058.404,4568605.254,5.2809,6
522062.551,4568608.2,5.0868,6
522066.539,4568611.034,4.8927,6
522070.37,4568613.756,4.6989,6
522074.042,4568616.365,4.5051,6
522077.442,4568619.013,4.3116,6
522080.626,4568621.625,4.1182,6
522083.66,4568624.115,3.9251,6
522086.546,4568626.482,3.7323,6
522089.282,4568628.727,3.5397,6
522091.87,4568630.851,3.3475,6
522094.31,4568632.852,3.1557,7
522096.601,4568634.733,2.9643,7
522098.745,4568636.492,2.7734,7
522100.742,4568638.13,2.5831,7
522102.593,4568639.649,2.3934,7
522104.297,4568641.047,2.2045,7
522105.856,4568642.326,2.0165,7
522107.27,4568643.486,1.8295,7
522108.541,4568644.529,1.6438,7
522109.669,4568645.455,1.4597,7
522110.657,4568646.265,1.2775,7
522111.506,4568646.962,1.0977,7
522112.218,4568647.546,0.9211,7
522112.797,4568648.021,0.7487,7
522113.247,4568648.39,0.5822,7
522113.575,4568648.659,0.4243,7
522113.791,4568648.837,0.2798,7
522114.638,4568649.535,1.0983,7
522116.332,4568650.933,2.1961,7
522118.904,4568653.056,3.3349,7
522122.354,4568655.903,4.4729,7
522126.699,4568659.489,5.6334,7
522131.937,4568663.813,6.7925,7
522137.92,4568668.75,7.7567,7
522144.568,4568674.237,8.62,7
522151.814,4568680.218,9.3951,7
522159.869,4568686.368,10.1352,7
522168.495,4568692.901,10.8217,7
522177.534,4568699.747,11.3385,6
522186.943,4568706.873,11.8029,6
522196.941,4568713.936,12.2491,6
522207.557,4568720.795,12.6395,6
522218.42,4568727.815,12.9337,6
522229.528,4568734.992,13.2247,6
522240.037,4568743.397,13.5065,6
522250.148,4568752.771,13.7879,6
522260.466,4568762.338,14.0715,6
522270.977,4568772.091,14.3391,6
522279.724,4568783.768,14.589,6
522288.6,4568795.616,14.8048,6
522297.6,4568807.63,15.0109,6
522306.604,4568819.89,15.2118,6
522315.654,4568832.353,15.4023,6
522324.886,4568845.067,15.7123,7
522334.302,4568858.044,16.0332,7
522343.91,4568871.3,16.371,7
522353.67,4568884.766,16.6312,6
522363.558,4568898.43,16.8671,6
522373.552,4568912.274,17.0737,6
522383.703,4568926.337,17.3446,7
522393.965,4568940.669,17.6269,7
522404.345,4568955.284,17.9261,7
522414.864,4568970.097,18.1682,6
522425.288,4568985.261,18.4018,6
522435.741,4569000.662,18.6137,6
522446.297,4569016.217,18.798,6
522456.934,4569031.916,18.9634,6
522467.649,4569047.73,19.1023,6
522478.441,4569063.67,19.2501,6
522489.315,4569079.748,19.4101,6
522500.206,4569095.851,19.44,6
522511.077,4569111.967,19.44,6
522521.944,4569128.086,19.44,6
522532.808,4569144.207,19.44,6
522543.662,4569160.335,19.44,6
522554.516,4569176.463,19.44,6
522565.371,4569192.59,19.44,6
522576.225,4569208.718,19.44,6
522587.079,4569224.845,19.44,6
522597.933,4569240.973,19.44,6
522608.787,4569257.101,19.44,6
522619.642,4569273.228,19.44,6
522630.496,4569289.356,19.44,6
522641.35,4569305.484,19.44,6
522652.204,4569321.611,19.44,6
522663.058,4569337.739,19.44,6
522673.913,4569353.866,19.44,6
522684.767,4569369.994,19.44,6
522695.621,4569386.122,19.44,6
522706.475,4569402.249,19.44,6
522717.329,4569418.377,19.44,6
522728.184,4569434.504,19.44,6
522739.038,4569450.632,19.44,6
522749.892,4569466.76,19.44,6
522760.746,4569482.887,19.44,6
522771.6,4569499.015,19.44,6
522782.455,4569515.142,19.44,6
522793.309,4569531.27,19.44,6
522804.163,4569547.398,19.44,6
522815.017,4569563.525,19.44,6
522825.871,4569579.653,19.44,6
522836.726,4569595.781,19.44,6
522847.58,4569611.908,19.44,6
522858.434,4569628.036,19.44,7
522869.288,4569644.163,19.44,7
522880.143,4569660.291,19.44,7
522890.997,4569676.419,19.44,6
522901.851,4569692.546,19.44,6
522912.705,4569708.674,19.44,7
522923.559,4569724.801,19.44,7
522934.414,4569740.929,19.44,6
522945.268,4569757.057,19.44,6
522956.122,4569773.184,19.44,6
522966.976,4569789.312,19.44,7
522977.83,4569805.439,19.44,7
522988.685,4569821.567,19.44,7
522999.539,4569837.695,19.44,6
523010.393,4569853.822,19.44,6
523021.247,4569869.95,19.44,6
523032.101,4569886.078,19.44,6
523042.956,4569902.205,19.44,6
523053.81,4569918.333,19.44,6
523064.664,4569934.46,19.44,6
523075.518,4569950.588,19.44,6
523086.372,4569966.716,19.44,6
523097.227,4569982.843,19.44,6
523108.081,4569998.971,19.44,6
523118.935,4570015.098,19.44,6
523129.789,4570031.226,19.44,6
523140.643,4570047.354,19.44,6
523151.498,4570063.481,19.44,6
523162.352,4570079.609,19.44,6
523173.21,4570095.734,19.44,6
523184.099,4570111.838,19.44,6
523194.988,4570127.942,19.44,6
523205.909,4570144.025,19.44,6
523216.857,4570160.089,19.44,6
523227.805,4570176.153,19.44,6
523238.753,4570192.217,19.44,6
523249.701,4570208.281,19.44,6
523260.649,4570224.345,19.44,6
523271.597,4570240.409,19.44,6
523282.544,4570256.473,19.44,6
523293.492,4570272.538,19.44,6
523304.44,4570288.602,19.44,6
523315.388,4570304.666,19.44,6
523326.336,4570320.73,19.44,6
523337.284,4570336.794,19.44,6
523348.232,4570352.858,19.44,6
523359.18,4570368.922,19.44,6
523370.128,4570384.986,19.44,6
523381.076,4570401.051,19.44,6
523392.024,4570417.115,19.44,6
523402.972,4570433.179,19.44,6
523413.92,4570449.243,19.44,7
523424.868,4570465.307,19.44,7
523435.841,4570481.354,19.44,7
523446.816,4570497.4,19.44,6
523458.349,4570513.025,19.44,6
523470.764,4570527.984,19.44,6
523483.179,4570542.943,19.44,6
523494.529,4570558.713,19.44,6
523505.638,4570574.666,19.44,6
523516.746,4570590.619,19.44,6
523527.853,4570606.575,19.44,6
523538.959,4570622.53,19.44,6
523550.957,4570637.805,19.44,6
523563.39,4570652.75,19.44,6
523575.754,4570667.749,19.44,6
523587.505,4570683.235,19.44,6
523599.255,4570698.722,19.44,6
523611.619,4570713.705,19.44,6
523624.528,4570728.241,19.44,6
523637.436,4570742.776,19.44,6
523651.658,4570756.024,19.44,6
523665.937,4570769.216,19.44,7
523680.373,4570782.233,19.44,7
523695.058,4570794.971,19.44,7
523709.743,4570807.709,19.44,6
523723.944,4570820.981,19.44,6
523738.034,4570834.374,19.44,7
523751.97,4570847.651,19.2481,7
523765.717,4570860.848,19.0561,7
523779.325,4570873.911,18.864,6
523793.13,4570886.477,18.6718,6
523807.012,4570898.675,18.4794,6
523820.748,4570910.746,18.287,6
523834.404,4570922.618,18.0944,6
523847.922,4570934.354,17.9017,6
523861.29,4570945.968,17.7089,6
523874.478,4570957.496,17.5159,6
523887.52,4570968.897,17.3229,7
523900.475,4570980.103,17.1298,7
523913.494,4570990.936,16.9365,7
523926.365,4571001.645,16.7432,6
523939.063,4571012.258,16.5498,6
523951.536,4571022.839,16.3562,6
523963.862,4571033.294,16.1626,6
523976.021,4571043.645,15.9689,6
523987.934,4571053.986,15.775,6
523999.7,4571064.201,15.5811,6
524011.319,4571074.288,15.3871,6
524022.716,4571084.335,15.193,6
524033.963,4571094.258,14.9988,6
524045.064,4571104.053,14.8046,6
524056.079,4571113.651,14.6102,6
524066.987,4571123.076,14.4158,6
524077.748,4571132.374,14.2213,6
524088.362,4571141.544,14.0267,6
524098.839,4571150.575,13.832,6
524109.168,4571159.479,13.6373,6
524119.35,4571168.255,13.4425,6
524129.384,4571176.905,13.2476,6
524139.271,4571185.427,13.0527,6
524149.01,4571193.822,12.8577,6
524158.601,4571202.09,12.6626,6
524168.044,4571210.23,12.4675,6
524177.339,4571218.243,12.2723,6
524186.487,4571226.128,12.0771,7
524195.487,4571233.886,11.8818,7
524204.339,4571241.516,11.6865,7
524213.042,4571249.019,11.4911,7
524221.598,4571256.394,11.2957,7
524230.006,4571263.641,11.1002,7
524238.266,4571270.761,10.9047,7
524246.322,4571277.817,10.7092,7
524254.227,4571284.748,10.5137,7
524261.986,4571291.55,10.3181,7
524269.597,4571298.224,10.1224,7
524277.059,4571304.77,9.9268,7
524284.354,4571311.21,9.7311,7
524291.503,4571317.52,9.5355,7
524298.505,4571323.701,9.3398,7
524305.361,4571329.752,9.1441,7
524312.069,4571335.674,8.9484,7
524318.631,4571341.466,8.7527,7
524325.047,4571347.129,8.557,7
524331.315,4571352.662,8.3613,7
524337.437,4571358.066,8.1656,7
524343.412,4571363.34,7.97,7
524349.241,4571368.485,7.7744,7
524354.929,4571373.494,7.5788,7
524360.473,4571378.369,7.3832,7
524365.871,4571383.115,7.1877,7
524371.123,4571387.732,6.9922,7
524376.227,4571392.22,6.7968,7
524381.185,4571396.578,6.6014,7
524385.996,4571400.808,6.4061,7
524390.667,4571404.901,6.2109,7
524395.204,4571408.852,6.0158,7
524399.593,4571412.675,5.8207,7
524403.836,4571416.369,5.6258,7
524407.931,4571419.936,5.431,7
524411.88,4571423.375,5.2363,7
524415.682,4571426.686,5.0418,7
524419.338,4571429.87,4.8474,7
524422.847,4571432.926,4.6532,7
524426.21,4571435.855,4.4592,7
524429.43,4571438.651,4.2655,7
524432.505,4571441.321,4.0719,7
524435.434,4571443.863,3.8786,7
524438.217,4571446.28,3.6856,7
524440.855,4571448.569,3.493,7
524443.347,4571450.733,3.3007,7
524445.695,4571452.771,3.1088,7
524447.898,4571454.684,2.9174,7
524449.957,4571456.471,2.7266,7
524451.872,4571458.134,2.5363,7
524453.644,4571459.672,2.3467,7
524455.274,4571461.087,2.158,7
524456.762,4571462.379,1.9702,7
524458.108,4571463.548,1.7835,7
524459.315,4571464.596,1.5981,7
524460.383,4571465.523,1.4144,7
524461.314,4571466.331,1.2328,7
524462.11,4571467.022,1.0537,7
524462.773,4571467.597,0.878,7
524463.307,4571468.061,0.7069,7
524463.716,4571468.416,0.5422,7
524464.008,4571468.67,0.387,7
524464.195,4571468.832,0.2469,7
524465.113,4571469.628,1.2157,7
524466.948,4571471.222,2.4308,7
524469.675,4571473.589,3.6105,7
524473.291,4571476.728,4.7891,7
524477.796,4571480.639,5.9649,7
524483.144,4571485.282,7.0831,7
524489.202,4571490.541,8.0218,7
524495.882,4571496.34,8.8463,7
524503.127,4571502.626,9.5913,7
524510.898,4571509.345,10.2736,7
524519.146,4571516.476,10.9032,7
524527.841,4571523.993,11.4937,7
524536.53,4571531.506,11.4867,7
524545.26,4571538.959,11.4784,7
524554.011,4571546.371,11.4684,7
524562.753,4571553.775,11.4561,7
524571.483,4571561.169,11.4405,7
524580.174,4571568.578,11.4203,7
524588.77,4571576.054,11.3929,7
524597.337,4571583.505,11.3535,6
524605.857,4571590.915,11.2911,6
524614.287,4571598.247,11.1728,6
524622.178,4571605.278,10.569,6
524630.366,4571612.616,10.9951,6
524638.64,4571620.03,11.11,6
524646.914,4571627.445,11.11,6
524655.017,4571635.035,11.11,6
524662.636,4571643.12,11.11,6
524670.256,4571651.205,11.11,6
524677.876,4571659.29,11.11,6
524685.496,4571667.375,11.11,6
524693.686,4571674.868,11.11,6
524702.055,4571682.175,11.11,6
524710.424,4571689.482,11.11,7
524718.793,4571696.789,11.11,7
524727.075,4571704.192,11.11,7
524735.109,4571711.866,11.11,7
524743.142,4571719.54,11.11,6
524751.176,4571727.214,11.11,6
524759.21,4571734.888,11.11,6
524766.544,4571743.216,11.11,6
524773.664,4571751.745,11.11,6
524780.783,4571760.274,11.11,7
524787.903,4571768.803,11.11,7
524794.722,4571777.553,11.11,7
524800.725,4571786.901,11.11,7
524806.729,4571796.249,11.11,6
524812.733,4571805.598,11.11,6
524818.736,4571814.946,11.11,6
524824.089,4571824.673,11.11,6
524829.252,4571834.51,11.11,6
524834.415,4571844.348,11.11,6
524839.577,4571854.186,11.11,6
524844.459,4571864.153,11.11,6
524848.605,4571874.46,11.11,6
524852.751,4571884.768,11.11,6
524856.898,4571895.075,11.11,6
524861.044,4571905.382,11.11,6
524864.684,4571915.875,11.11,6
524868.18,4571926.42,11.11,6
524871.677,4571936.966,11.11,6
524875.173,4571947.512,11.11,6
524878.336,4571958.147,11.11,6
524880.643,4571969.015,11.11,6
524882.95,4571979.883,11.11,6
524885.257,4571990.751,11.11,6
524887.564,4572001.619,11.11,6
524889.039,4572012.621,11.11,6
524890.281,4572023.662,11.11,6
524891.523,4572034.702,11.11,6
524892.765,4572045.742,11.11,6
524893.896,4572056.793,11.11,6
524894.75,4572067.87,11.11,6
524895.603,4572078.948,11.11,6
